ncessch,schnam,leanm,member,white,totfrl,lstree,lcity,lstate,lzip,coname,type,status,level,latitude,longitude,id,route_id,state_code,through_la,f_system_v,aadt_vn,distance,geom
040024302030,SKYLINE PREP HIGH SCHOOL,SKYLINE SCHOOLS  INC.,130,23,127,7500 NORTH 40TH ST,PHOENIX,AZ,85042,MARICOPA COUNTY,1,1,3,33.379000,-111.995600,79333,07  BASELINE            RD      01,4,6,3,56104,103.12710987,0101000020E610000072F90FE9B7FF5BC08D976E1283B04040
040024401855,SEQUOIA SECONDARY SCHOOL,EDKEY  INC. - SEQUOIA CHARTER SCHOOL,490,110,414,1460 SOUTH HORNE,MESA,AZ,85204,MARICOPA COUNTY,1,1,3,33.387600,-111.814900,56690,U 060,4,12,2,218351,174.67110881,0101000020E6100000AA60545227F45BC0FDF675E09CB14040
040024402153,SEQUOIA CHARTER ELEMENTARY SCHOOL,EDKEY  INC. - SEQUOIA CHARTER SCHOOL,591,140,532,1460 SOUTH HORNE ST,MESA,AZ,85204,MARICOPA COUNTY,1,1,1,33.387200,-111.814900,56690,U 060,4,12,2,218351,130.30711605,0101000020E6100000AA60545227F45BC06F8104C58FB14040
040025902080,SOUTHGATE ACADEMY,SOUTHGATE ACADEMY  INC.,560,52,370,850 WEST VALENCIA RD,TUCSON,AZ,85706,PIMA COUNTY,1,1,4,32.135300,-110.982700,246086,10  VALENCIA            RD,4,6,3,52635,151.30385632,0101000020E6100000DE718A8EE4BE5BC00C93A98251114040
040031102919,E-INSTITUTE AT METRO,E-INSTITUTE CHARTER SCHOOLS  INC.,186,38,89,9201 NORTH 29TH AVE,PHOENIX,AZ,85051,MARICOPA COUNTY,1,1,3,33.569800,-112.119200,9873,I 017,4,8,1,157442,185.41662894,0101000020E6100000BA6B09F9A0075CC062A1D634EFC84040
040036102299,LA PALOMA ACADEMY,ARIZONA COMMUNITY DEVELOPMENT CORPORATION,744,243,513,2050 NORTH WILMOT RD,TUCSON,AZ,85712,PIMA COUNTY,1,1,1,32.248300,-110.855100,142781,10  GRANT               RD,4,6,3,55366,262.77313985,0101000020E6100000D0B359F5B9B65BC064CC5D4BC81F4040
040036400804,INTELLI-SCHOOL - METRO CENTER,PAS CHARTER  INC.  DBA INTELLI-SCHOOL,121,32,104,3327 WEST PEORIA AVE,PHOENIX,AZ,85029,MARICOPA COUNTY,1,1,3,33.581500,-112.126000,83902,07  PEORIA              AVE     01,4,6,3,54612,49.4108635,0101000020E6100000F2D24D6210085CC0DF4F8D976ECA4040
040037302397,TUCSON INTERNATIONAL ACADEMY MIDVALE,TUCSON INTERNATIONAL ACADEMY  INC.,162,6,126,1625 WEST VALENCIA,TUCSON,AZ,85746,PIMA COUNTY,1,1,4,32.133200,-110.999400,245898,10  VALENCIA            RD,4,6,3,51737,68.37744627,0101000020E6100000D5E76A2BF6BF5BC0E2E995B20C114040
040037402169,IMAGINE BELL CANYON,BELL CANYON CHARTER SCHOOL  INC,430,221,274,18052 NO. BLACK CANYON HWY,PHOENIX,AZ,85053,MARICOPA COUNTY,1,1,1,33.651500,-112.116000,9952,I 017,4,9,1,140762,131.20936623,0101000020E61000008195438B6C075CC008AC1C5A64D34040
040038701735,KAIZEN EDUCATION FOUNDATION DBA QUEST HIGH SCHOOL,KAIZEN EDUCATION FOUNDATION DBA TEMPE ACCELERATED HIGH SCHOO,136,12,114,5040 SOUTH PRICE RD,TEMPE,AZ,85282,MARICOPA COUNTY,1,1,3,33.380600,-111.894100,41098,S 101,4,10,2,120692,130.72748034,0101000020E6100000A1D634EF38F95BC0C66D3480B7B04040
040038801736,SKYVIEW HIGH SCHOOL,KAIZEN EDUCATION FOUNDATION DBA SKYVIEW HIGH SCHOOL,120,61,67,7820 EAST WRIGHTSTOWN RD,TUCSON,AZ,85715,PIMA COUNTY,1,1,3,32.250600,-110.825300,238113,10  TANQUE VERDE        RD,4,6,3,53812,261.21335896,0101000020E6100000E25817B7D1B45BC055302AA913204040
040039103074,MIDTOWN HIGH SCHOOL,VISTA CHARTER SCHOOL,24,0,20,7318 WEST LYNWOOD ST,PHOENIX,AZ,85035,MARICOPA COUNTY,1,1,3,33.464800,-112.216700,4258,I 010,4,10,1,207802,264.36159182,0101000020E6100000C442AD69DE0D5CC02497FF907EBB4040
040039402323,PRECISION ACADEMY,AVONDALE LEARNING DBA PRECISION ACADEMY,110,2,99,7318 WEST LYNWOOD ST,PHOENIX,AZ,85035,MARICOPA COUNTY,1,1,3,33.464900,-112.217100,4258,I 010,4,10,1,207802,275.85724489,0101000020E61000008BFD65F7E40D5CC088F4DBD781BB4040
040040502053,CORNERSTONE CHARTER SCHOOL,CORNERSTONE CHARTER SCHOOL INC,236,51,-1,7107 NORTH BLACK CANYON HWY,PHOENIX,AZ,85021,MARICOPA COUNTY,1,1,3,33.541100,-112.111800,9851,I 017,4,8,1,157803,40.70523456,0101000020E610000057EC2FBB27075CC0CCEEC9C342C54040
040046302921,DESERT VALLEYS REGION,ARIZONA STATE SCHOOL FOR THE DEAF AND BLIND,160,54,-1,8055 NORTH 24TH AVE,PHOENIX,AZ,85021,MARICOPA COUNTY,2,1,4,33.555200,-112.109700,9862,I 017,4,8,1,159014,247.00023207,0101000020E6100000C217265305075CC09E5E29CB10C74040
040063303106,CANYON ROSE ACADEMY,CANYON ROSE ACADEMY  INC.,284,95,241,2401 SOUTH WILMOT RD,TUCSON,AZ,85711,PIMA COUNTY,1,1,3,32.193800,-110.857400,139051,10  GOLF LINKS          RD,4,6,2,53263,191.59836844,0101000020E6100000C9E53FA4DFB65BC07FFB3A70CE184040
040063402201,ALLSPORT ACADEMY,ALLSPORT ACADEMY,40,6,35,6211 EAST SPEEDWAY BLVD,TUCSON,AZ,85712,PIMA COUNTY,1,1,2,32.236600,-110.860000,253362,10  WILMOT              RD,4,6,3,55201,215.12909954,0101000020E6100000D7A3703D0AB75BC0E71DA7E8481E4040
040064002031,SEQUOIA SCHOOL FOR THE DEAF AND HARD OF HEARING,EDKEY  INC. - SEQUOIA SCHOOL FOR THE DEAF AND HARD OF HEARIN,72,35,47,1460 SOUTH HORNE,MESA,AZ,85204,MARICOPA COUNTY,2,1,4,33.387100,-111.815300,56690,U 060,4,12,2,218351,119.40243438,0101000020E6100000711B0DE02DF45BC00B24287E8CB14040
040076002911,GREAT HEARTS ACADEMIES - GLENDALE PREP,GLENDALE PREPARATORY ACADEMY,399,299,-1,7201 WEST BEARDSLEY RD,GLENDALE,AZ,85308,MARICOPA COUNTY,1,1,4,33.665900,-112.214700,40552,S 101,4,8,2,146181,188.4812098,0101000020E6100000E09C11A5BD0D5CC0053411363CD54040
040077102899,SKY ISLANDS,BLUE ADOBE PROJECT,57,35,0,201 SOUTH WILMOT RD,TUCSON,AZ,85711,PIMA COUNTY,1,1,3,32.219500,-110.857200,104261,10  BROADWAY            BLVD,4,6,3,53532,208.65248363,0101000020E61000006688635DDCB65BC06ABC7493181C4040
040078102910,MATH AND SCIENCE SUCCESS ACADEMY,MATH AND SCIENCE SUCCESS ACADEMY  INC.,383,35,269,434 WEST LERDO RD,TUCSON,AZ,85706,PIMA COUNTY,1,1,1,32.132800,-110.976100,246122,10  VALENCIA            RD,4,6,3,52635,221.09802731,0101000020E61000000A68226C78BE5BC054742497FF104040
040079003333,SUPERSTITION MOUNTAIN ON-LINE SCHOOL,APACHE JUNCTION UNIFIED DISTRICT,12,9,4,1575 WEST SOUTHERN AVE,APACHE JUNCTION,AZ,85120,PINAL COUNTY,1,1,3,33.388700,-111.558100,56886,U 060,4,4,2,52784,240.89018802,0101000020E610000072F90FE9B7E35BC044FAEDEBC0B14040
040080602891,SONORAN SCIENCE ACADEMY - AHWATUKEE,DAISY EDUCATION CORPORATION DBA SONORAN SCIENCE ACADEMY - AH,118,26,46,14647 SOUTH 50TH ST,PHOENIX,AZ,85044,MARICOPA COUNTY,1,1,1,33.313100,-111.974400,4584,I 010,4,8,1,104004,185.24983702,0101000020E61000003C4ED1915CFE5BC055302AA913A84040
040081102950,OMBUDSMAN - CHARTER VALENCIA,OMBUDSMAN EDUCATIONAL SERVICES  LTD  A SUBSIDIARY OF EDUCATI,165,7,5,1686 WEST VALENCIA RD,TUCSON,AZ,85746,PIMA COUNTY,1,1,4,32.133900,-111.001800,245898,10  VALENCIA            RD,4,6,3,51737,211.03469909,0101000020E61000008048BF7D1DC05BC09A779CA223114040
040081602998,EDOPTIONS HIGH SCHOOL,EDUCATIONAL OPTIONS FOUNDATION,56,14,41,2150 EAST SOUTHERN AVE,TEMPE,AZ,85282,MARICOPA COUNTY,1,1,3,33.394000,-111.893500,41080,S 101,4,9,2,120692,230.41133665,0101000020E610000077BE9F1A2FF95BC0DF4F8D976EB24040
040081603219,EDOPTIONS AOI PROGRAM,EDUCATIONAL OPTIONS FOUNDATION,255,81,146,2150 EAST SOUTHERN AVE,TEMPE,AZ,85282,MARICOPA COUNTY,1,1,3,33.394000,-111.893500,41080,S 101,4,9,2,120692,230.41133665,0101000020E610000077BE9F1A2FF95BC0DF4F8D976EB24040
040084603245,SOUTH VALLEY PREP AND ARTS SCHOOL,SOUTH VALLEY ACADEMY  INC.,201,31,198,4039 EAST RAYMOND ST,PHOENIX,AZ,85040,MARICOPA COUNTY,1,1,2,33.412400,-111.993900,4478,I 010,4,10,1,223954,229.93206998,0101000020E6100000A4DFBE0E9CFF5BC0696FF085C9B44040
040085003341,REID TRADITIONAL SCHOOLS' PAINTED ROCK ACADEMY,REID TRADITIONAL SCHOOLS' PAINTED ROCK ACADEMY INC.,486,190,-1,14841 NORTH BLACK CANYON HWY,PHOENIX,AZ,85023,MARICOPA COUNTY,1,1,1,33.620700,-112.115100,9922,I 017,4,8,1,156154,125.96464496,0101000020E610000041F163CC5D075CC04850FC1873CF4040
040085303297,SOUTH PHOENIX PREP AND ARTS ACADEMY,SOUTH PHOENIX ACADEMY INC.,290,37,287,4039 EAST RAYMOND ST,PHOENIX,AZ,85040,MARICOPA COUNTY,1,1,1,33.412400,-111.993900,4478,I 010,4,10,1,223954,229.93206998,0101000020E6100000A4DFBE0E9CFF5BC0696FF085C9B44040
040086201783,ARIZONA COLLEGE PREP ACADEMY,COLLABORATIVE PATHWAYS  INC.,122,55,73,7444 EAST BROADWAY,TUCSON,AZ,85710,PIMA COUNTY,1,1,3,32.220300,-110.833600,104527,10  BROADWAY            BLVD,4,6,3,51190,76.26264759,0101000020E6100000857CD0B359B55BC087A757CA321C4040
040105000054,BALSZ ELEMENTARY SCHOOL,BALSZ ELEMENTARY DISTRICT,849,59,846,4309 EAST BELLEVIEW ST,PHOENIX,AZ,85008,MARICOPA COUNTY,1,1,1,33.461300,-111.989300,43813,S 202,4,9,2,122232,294.48774898,0101000020E6100000B37BF2B050FF5BC089D2DEE00BBB4040
040243000181,WILLIAM T MACHAN ELEMENTARY SCHOOL,CREIGHTON ELEMENTARY DISTRICT,523,11,506,2140 EAST VIRGINIA AVE,PHOENIX,AZ,85006,MARICOPA COUNTY,1,1,1,33.478000,-112.035500,18656,S 051,4,8,2,149847,249.8990337,0101000020E610000083C0CAA145025CC077BE9F1A2FBD4040
040243001704,GATEWAY SCHOOL,CREIGHTON ELEMENTARY DISTRICT,776,19,733,1100 NORTH 35TH ST,PHOENIX,AZ,85008,MARICOPA COUNTY,1,1,1,33.461800,-112.006700,43798,S 202,4,11,2,171545,294.04075826,0101000020E61000008638D6C56D005CC07AA52C431CBB4040
040243001999,EXCELENCIA SCHOOL,CREIGHTON ELEMENTARY DISTRICT,879,20,841,2181 EAST MCDOWELL RD,PHOENIX,AZ,85006,MARICOPA COUNTY,1,1,1,33.464600,-112.034300,43775,S 202,4,6,2,116504,294.47868367,0101000020E61000002E90A0F831025CC05DDC460378BB4040
040301000236,LAGUNA ELEMENTARY SCHOOL,FLOWING WELLS UNIFIED DISTRICT,425,119,367,5001 NORTH SHANNON RD,TUCSON,AZ,85705,PIMA COUNTY,1,1,1,32.298600,-111.030800,5728,I 010,4,6,1,107957,248.85967701,0101000020E6100000E02D90A0F8C15BC0F54A598638264040
040340001215,PIONEER ELEMENTARY SCHOOL,GILBERT UNIFIED DISTRICT,554,381,-1,1535 NORTH GREENFIELD RD,GILBERT,AZ,85234,MARICOPA COUNTY,1,1,1,33.376900,-111.738200,81383,07  GREENFIELD          RD      01 MESA,4,6,3,51416,289.20461045,0101000020E6100000107A36AB3EEF5BC063EE5A423EB04040
040386003209,SOUTHWEST KEY TRANSITIONAL LEARNING CENTER,MARICOPA COUNTY REGIONAL DISTRICT,232,1,182,2613 WEST CAMPBELL AVE,PHOENIX,AZ,85017,MARICOPA COUNTY,1,1,4,33.501300,-112.115400,9821,I 017,4,8,1,182524,244.72589589,0101000020E6100000567DAEB662075CC00EBE30992AC04040
040396000318,J B SUTTON ELEMENTARY SCHOOL,ISAAC ELEMENTARY DISTRICT,795,10,792,1001 NORTH 31ST AVE,PHOENIX,AZ,85009,MARICOPA COUNTY,1,1,1,33.459300,-112.125300,4318,I 010,4,11,1,239592,283.06274821,0101000020E6100000158C4AEA04085CC0C286A757CABA4040
040450000355,MADISON #1 ELEMENTARY SCHOOL,MADISON ELEMENTARY DISTRICT,871,376,286,5525 NORTH 16TH ST,PHOENIX,AZ,85016,MARICOPA COUNTY,1,1,2,33.518300,-112.045800,18699,S 051,4,8,2,124487,159.0752712,0101000020E6100000098A1F63EE025CC027C286A757C24040
040463000367,MARJORIE W ESTES ELEMENTARY SCHOOL,MARANA UNIFIED DISTRICT,884,501,439,11279 WEST GRIER RD,MARANA,AZ,85653,PIMA COUNTY,1,1,1,32.455200,-111.207800,5523,I 010,4,6,1,51475,56.41749116,0101000020E6100000F7065F984CCD5BC0D1915CFE433A4040
040463000368,MARANA MIDDLE SCHOOL,MARANA UNIFIED DISTRICT,1034,586,537,11279 WEST GRIER RD,MARANA,AZ,85653,PIMA COUNTY,1,1,2,32.452200,-111.206400,5527,I 010,4,6,1,51475,225.67776371,0101000020E61000003E7958A835CD5BC027A089B0E1394040
040463000999,A. C. E.,MARANA UNIFIED DISTRICT,3,2,-1,11279 WEST GRIER RD,MARANA,AZ,85653,PIMA COUNTY,1,1,3,32.453100,-111.206300,5524,I 010,4,6,1,51475,143.35459689,0101000020E61000008C4AEA0434CD5BC0A7E8482EFF394040
040463002548,MARANA DISTANCE LEARNING,MARANA UNIFIED DISTRICT,51,39,-1,11279 WEST GRIER RD,MARANA,AZ,85653,PIMA COUNTY,1,1,4,32.451700,-111.206600,5527,I 010,4,6,1,51475,280.17540471,0101000020E6100000A1D634EF38CD5BC036CD3B4ED1394040
040463003302,MCAT HIGH SCHOOL,MARANA UNIFIED DISTRICT,81,46,36,13650 NORTH MCDUFF,MARANA,AZ,85653,PIMA COUNTY,1,1,3,32.454400,-111.209100,5523,I 010,4,6,1,51475,203.06106827,0101000020E6100000FE65F7E461CD5BC0B5A679C7293A4040
040497000417,WASHINGTON ELEMENTARY SCHOOL,MESA UNIFIED DISTRICT,489,244,286,2260 WEST ISABELLA AVE,MESA,AZ,85202,MARICOPA COUNTY,1,1,1,33.384300,-111.880200,56644,U 060,4,10,2,139407,154.34097971,0101000020E61000001C7C613255F85BC029ED0DBE30B14040
040497001071,KELLER ELEMENTARY SCHOOL,MESA UNIFIED DISTRICT,609,154,478,1445 EAST HILTON AVE,MESA,AZ,85204,MARICOPA COUNTY,1,1,1,33.387900,-111.799500,56700,U 060,4,12,2,211013,198.83005822,0101000020E6100000BA490C022BF35BC0280F0BB5A6B14040
040540000446,ARTHUR M HAMILTON SCHOOL,MURPHY ELEMENTARY DISTRICT,363,9,347,2020 WEST DURANGO ST,PHOENIX,AZ,85009,MARICOPA COUNTY,1,1,1,33.429900,-112.102900,9751,I 017,4,6,1,113861,299.65208639,0101000020E61000008AB0E1E995065CC0744694F606B74040
040593000485,MERCURY MINE ELEMENTARY SCHOOL,PARADISE VALLEY UNIFIED DISTRICT,553,379,45,9640 NORTH 28TH ST,PHOENIX,AZ,85028,MARICOPA COUNTY,1,1,1,33.573800,-112.022300,18753,S 051,4,11,2,145575,137.43037981,0101000020E6100000DAACFA5C6D015CC0EF38454772C94040
040593001240,EAGLE RIDGE ELEMENTARY SCHOOL,PARADISE VALLEY UNIFIED DISTRICT,577,303,170,19801 NORTH 13TH ST,PHOENIX,AZ,85024,MARICOPA COUNTY,1,1,1,33.666900,-112.054100,40673,S 101,4,8,2,153234,228.76056293,0101000020E6100000ACADD85F76035CC0E8D9ACFA5CD54040
