ncessch,latcode,longcode,gid,route_id,route_numb,state_code,through_la,f_system,aadt,aadt_combi,aadt_singl,distance,orig_name,street,orig_city,state,zip,name,city,checked?
530108000184,47.59238,-122.697,12898536,3,3,53,4,2,52827,1210,1580,106.9876003,"John D. ""Bud"" Hawk Elementary at Jackson Park",2900 AUSTIN DR,BREMERTON,WA,98312,"John D. ""Bud"" Hawk Elementary at Jackson Park",Bremerton,"Yes, accurate"
440090000221,41.8196185,-71.3934504,,,,,,,,,,,Vartan Gregorian El. School,,,RI,,Vartan Gregorian Elementary School,Providence,"Yes, accurate"
150003000206,21.319466,-157.859675,,,,,,,,,,,Kauluwela Elementary School,,,HI,,Kauluwela Elementary School,Honolulu,"Yes, accurate"
180567001034,39.882118,-86.049301,,,,,,,,,,,Skiles Test Elementary School,,,IN,,Skiles Test Elementary School,Indianapolis,"Yes, accurate"
201299000316,37.6433322,-97.3065035,,,,,,,,,,,Sowers Alternative High School,,,KS,,Sowers Alternative High School,Wichita,"Yes, accurate"
220054000396,30.4335,-91.174731,,,,,,,,,,,McKinley Middle Magnet School,,,LA,,McKinley Middle Academic Magnet,Baton Rouge,"Yes, accurate"
40593000485,33.573754,-112.022264,,,,,,,,,,,Mercury Mine Elementary School,,,AZ,,Mercury Mine Elementary School,Phoenix,"Yes, accurate"
402277001156,35.486491,-97.5779359,,,,,,,,,,,LINWOOD ES,,,OK,,Linwood Elementary School,Oklahoma City,"Yes, accurate"
80336000414,39.781049,-104.956449,,,,,,,,,,,SWANSEA ELEMENTARY SCHOOL,,,CO,,Swansea Elementary School,Denver,"Yes, accurate"
411004000947,45.5045687,-122.7603942,,,,,,,,,,,West Sylvan Middle School,,,OR,,West Sylvan Middle School,Portland,"Yes, accurate"
360007602515,40.7182302,-73.9840825,,,,,,,,,,,PS 142 AMALIA CASTRO,,,NY,,P.S. 142 Amalia Castro,New York,"Yes, accurate"
